already," ",уже
as well," "," так же"
even ,[ˈi:vən],"даже, еще"
hence ,[hens],"следовательно, отсюда"
i.e.," ",т.е.
quite ,[kwaɪt],"вполне, полностью, в самом деле"
since ,[sɪns],"так как, с тех пор как"
still ,[stɪl],"все еще, тем не менее"
so ,[səu],"таким образом, поэтому"
soon ,[su:n],"скоро, рано"
thereafter ,[ðɛərˈɑ:ftə],"после того, в последствии"
therefore ,[ˈðɛəfɔ:],"поэтому, следовательно"
when ,[wen],"когда, хотя"
whether ,[ˈweðə],не зависимо от того ли...
whenever ,[wenˈevə],"каждый раз когда, когда бы ни"
