conversely ,[ˈkɔnvə:slɪ],"с другой стороны, наоборот"
largely ,[ˈlɑ:dʒlɪ],в основном
merely ,[ˈmɪəlɪ],просто
mostly ,[ˈməustlɪ],главным образом
perhaps ,[pəˈhæps],возможно
