applicable ,[ˈæplɪkəbl],"применимый, подходящий"
appropriate ,[ə'prəuprɪət],"соответствующий,подходящий"
average ,[ˈævərɪdʒ],среднее число
capable ,[ˈkeɪpəbl],способный
peripheral ,[pəˈrɪfərəl],периферический
pull-down," ",спускающийся
rapidly," ",быстро
reflect ,[rɪˈflekt],отражение
quiescent ,[kwaɪˈesnt],неподвижный
tri," ",тройной
